C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2020/02/08,04:10:20,0000000318798762,NEXT_DAY_ACTUAL_GEN,0000000318798762
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",BARCSF1,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",BUTLERSG,-0.000002,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CALL_A_4,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CAPTL_WF,50.144005,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CATHROCK,19.099998,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CHALLHWF,2.90,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CLOVER,-0.01,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CLUNY,5.947814,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CNUNDAWF,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CULLRGWF,22.32,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",ERGT01,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",GB01,-0.050449,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",GERMCRK,37.50,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",GRIFSF1,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",HUGSF1,-0.1710,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",LKBONNY1,-0.270719,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",LRSF1,-0.0330,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",MBAHNTH,35.25,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",MLSP1,0.305001,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",MLWF1,0.12,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",MTMILLAR,-0.241843,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",PALOONA,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",PIONEER,31.10,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",PORTWF,-0.30,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",REPULSE,10.210727,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",ROWALLAN,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",ROYALLA1,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",RPCG,-0.60,"2020/02/07 04:10:04"
